,Var1,Freq,long.name,short.name,Contained Info
1,$.IMTW,17,,garbage,
2,$.IMWV,6,,garbage,
3,$1IVHW,1,,garbage,
4,$2IVLW,1,,garbage,
5,$5IMTW,1,,garbage,
6,$G7.67,1,,garbage,
7,$GM*07,1,,garbage,
8,$GP*2D,1,,garbage,
9,$GPAPB,53483,"Autopilot Sentence ""B""",autopilot,
10,$GPB23,1,,garbage,
11,$GPBOD,53390,Bearing - Waypoint to Waypoint,BEARING - WW,
12,$GPBWC,53443,Bearing & Distance to Waypoint - Great Circle,BEARING - GC,
13,$GPG1D,1,,garbage,
14,$GPGGA,53427,Global Positioning System Fix Data,GPS Data,
15,$GPGLL,53449,Geographic Position - Latitude/Longitude,GPS Position,
16,$GPRM2,1,,garbage,
17,$GPRMB,53456,Recommended Minimum Navigation Information B,,
18,$GPRMC,53411,Recommended Minimum Navigation Information C,,
19,$GPVTG,53544,Track Made Good and Ground Speed,,
20,$HCHDM,53625,Heading - Magnetic,,
21,$I0MTW,2,,garbage,
22,$I0MWV,1,,garbage,
23,$I10.0,1,,garbage,
24,$I1MTW,2,,garbage,
25,$I2MTW,3,,garbage,
26,$I4MTW,5,,garbage,
27,$I5MTW,4,,garbage,
28,$I7MTW,4,,garbage,
29,$I8MTW,2,,garbage,
30,$I9MTW,4,,garbage,
31,$I9MWV,1,,garbage,
32,$IAMTW,2,,garbage,
33,$ICMWV,3,,garbage,
34,$IHVHW,1,,garbage,
35,$II*TW,38,,garbage,
36,$II*WV,1,,garbage,
37,$II0TW,1,,garbage,
38,$II1HW,1,,garbage,
39,$II9TW,1,,garbage,
40,$IIIHW,4,,garbage,
41,$IIILW,1,,garbage,
42,$IIITW,5,,garbage,
43,$IIM.W,1,,garbage,
44,$IIM0V,1,,garbage,
45,$IIM0W,3,,garbage,
46,$IIM2V,3,,garbage,
47,$IIM2W,2,,garbage,
48,$IIM4W,1,,garbage,
49,$IIM5V,2,,garbage,
50,$IIM5W,36,,garbage,
51,$IIMAW,5,,garbage,
52,$IIMCV,1,,garbage,
53,$IIMHW,4,,garbage,
54,$IIMIW,6,,garbage,
55,$IIMKV,1,,garbage,
56,$IIMKW,27,,garbage,
57,$IIMNW,1,,garbage,
58,$IIMT*,23,,garbage,
59,$IIMT0,6,,garbage,
60,$IIMT1,4,,garbage,
61,$IIMT2,4,,garbage,
62,$IIMT3,4,,garbage,
63,$IIMT4,5,,garbage,
64,$IIMT5,6,,garbage,
65,$IIMT6,1,,garbage,
66,$IIMT7,1,,garbage,
67,$IIMT9,1,,garbage,
68,$IIMTA,2,,garbage,
69,$IIMTB,4,,garbage,
70,$IIMTD,1,,garbage,
71,$IIMTE,2,,garbage,
72,$IIMTF,3,,garbage,
73,$IIMTH,1,,garbage,
74,$IIMTM,27,,garbage,
75,$IIMTV,1,,garbage,
76,$IIMTW,211888,Mean Temperature of Water,,
77,$IIMW*,4,,garbage,
78,$IIMW2,2,,garbage,
79,$IIMWN,1,,garbage,
80,$IIMWV,110161,Wind Speed and Angle,,
81,$IIMWW,4,,garbage,
82,$IINHW,1,,garbage,
83,$IIV.W,1,,garbage,
84,$IIVH*,1,,garbage,
85,$IIVH0,2,,garbage,
86,$IIVHM,24,,garbage,
87,$IIVHN,1,,garbage,
88,$IIVHT,1,,garbage,
89,$IIVHV,4,,garbage,
90,$IIVHW,211524,Water Speed & Heading,,
91,$IIVIW,5,,garbage,
92,$IIVL0,1,,garbage,
93,$IIVLI,1,,garbage,
94,$IIVLW,4358,Distance Travelled through Water,,
95,$IIVTW,17,,garbage,
96,$IIWHW,1,,garbage,
97,$IIWLW,2,,garbage,
98,$IIWTW,3,,garbage,
99,$IKMTW,27,,garbage,
100,$ILVHW,1,,garbage,
101,$IMMWV,1,,garbage,
102,$INMTW,5,,garbage,
103,$INMWV,1,,garbage,
104,$ITMTW,24,,garbage,
105,$ITMWV,8,,garbage,
106,$ITVHW,16,,garbage,
107,$ITVLW,1,,garbage,
108,$IWMTW,1,,garbage,
109,$IWVHW,1,,garbage,
110,$MIMTW,2,,garbage,
111,$MIMWV,1,,garbage,
112,$MIVLW,1,,garbage,
113,$PGRME,53572,Garmin Estimated Error,,
114,$PGRMM,53603,Currently Active Horizontal Datum,,
115,$PGRMZ,53621,Altitude,,
116,$VIVHW,1,,garbage,
117,$WIMTW,14,,garbage,
118,$WIMWV,53619,Wind Speed and Angle,,
119,$WIVHW,19,,garbage,
