VTW,  BTW,   VAW,   BAW,     V,     VMG,   PHI,SAIL
6.0,180.0,2.91,180.0,2.834,-2.834,0.0,Sym Spin
6.0,179.0,2.90,178.0,2.840,-2.839,0.0,Sym Spin
6.0,178.0,2.90,176.0,2.847,-2.846,0.1,Sym Spin
6.0,177.0,2.89,174.0,2.856,-2.852,0.1,Sym Spin
6.0,176.0,2.89,172.0,2.864,-2.857,0.1,Sym Spin
6.0,175.0,2.89,170.0,2.874,-2.863,0.1,Sym Spin
6.0,174.0,2.89,168.0,2.885,-2.870,0.1,Sym Spin
6.0,173.0,2.88,166.0,2.898,-2.876,0.1,Sym Spin
6.0,172.0,2.89,163.9,2.911,-2.883,0.1,Sym Spin
6.0,171.0,2.89,161.9,2.925,-2.889,0.1,Sym Spin
6.0,170.0,2.89,159.8,2.940,-2.895,0.2,Sym Spin
6.0,169.0,2.89,157.8,2.956,-2.902,0.2,Sym Spin
6.0,168.0,2.90,155.7,2.973,-2.908,0.2,Sym Spin
6.0,167.0,2.90,153.6,2.991,-2.914,0.2,Sym Spin
6.0,166.0,2.91,151.5,3.010,-2.921,0.2,Sym Spin
6.0,165.0,2.92,149.4,3.030,-2.927,0.2,Sym Spin
6.0,164.0,2.93,147.3,3.051,-2.933,0.2,Sym Spin
6.0,163.0,2.94,145.2,3.073,-2.939,0.2,Sym Spin
6.0,162.0,2.95,143.1,3.097,-2.945,0.3,Sym Spin
6.0,161.0,2.97,141.0,3.121,-2.951,0.3,Sym Spin
6.0,160.0,2.98,138.9,3.146,-2.956,0.3,Sym Spin
6.0,159.0,3.00,136.7,3.173,-2.962,0.3,Sym Spin
6.0,158.0,3.02,134.6,3.200,-2.967,0.3,Sym Spin
6.0,157.0,3.04,132.5,3.228,-2.972,0.3,Sym Spin
6.0,156.0,3.06,130.4,3.258,-2.976,0.4,Sym Spin
6.0,155.0,3.09,128.3,3.288,-2.980,0.4,Sym Spin
6.0,154.0,3.12,126.2,3.320,-2.984,0.4,Sym Spin
6.0,153.0,3.14,124.1,3.353,-2.987,0.4,Sym Spin
6.0,152.0,3.18,122.0,3.386,-2.990,0.4,Sym Spin
6.0,151.0,3.21,119.9,3.420,-2.991,0.5,Sym Spin
6.0,150.0,3.25,117.8,3.455,-2.992,0.5,Sym Spin
6.0,149.0,3.28,115.8,3.491,-2.992,0.5,Sym Spin
6.0,148.0,3.32,113.8,3.527,-2.991,0.5,Sym Spin
6.0,147.0,3.37,111.8,3.564,-2.989,0.6,Sym Spin
6.0,146.0,3.41,109.8,3.603,-2.987,0.6,Sym Spin
6.0,145.0,3.46,107.8,3.642,-2.983,0.6,Sym Spin
6.0,144.0,3.51,105.9,3.682,-2.979,0.7,Sym Spin
6.0,143.0,3.56,104.0,3.724,-2.974,0.7,Sym Spin
6.0,142.0,3.61,102.1,3.766,-2.968,0.7,Sym Spin
6.0,141.0,3.67,100.2,3.810,-2.961,0.8,Sym Spin
6.0,140.0,3.73,98.4,3.855,-2.953,0.8,Sym Spin
6.0,139.0,3.79,96.5,3.901,-2.944,0.8,Sym Spin
6.0,138.0,3.85,94.7,3.947,-2.933,0.9,Sym Spin
6.0,137.0,3.92,93.0,3.995,-2.922,0.9,Sym Spin
6.0,136.0,3.99,91.2,4.044,-2.909,1.0,Sym Spin
6.0,135.0,4.06,89.5,4.094,-2.895,1.0,Sym Spin
6.0,134.0,4.13,87.8,4.144,-2.879,1.0,Sym Spin
6.0,133.0,4.21,86.2,4.196,-2.862,1.1,Sym Spin
6.0,132.0,4.28,84.5,4.249,-2.843,1.2,Sym Spin
6.0,131.0,4.36,82.9,4.303,-2.823,1.2,Sym Spin
6.0,130.0,4.45,81.4,4.357,-2.801,1.3,Sym Spin
6.0,129.0,4.53,79.8,4.411,-2.776,1.3,Sym Spin
6.0,128.0,4.62,78.4,4.465,-2.749,1.4,Sym Spin
6.0,127.0,4.71,76.9,4.518,-2.719,1.4,Sym Spin
