TWA,tws6.1,tws8.2,tws10.2,tws12.3,tws16.4,tws20.5,tws24.6
1,3.18349E-06,4.21358E-06,5.19086E-06,6.06818E-06,7.2252E-06,7.95985E-06,8.6271E-06
2,3.18349E-06,4.21358E-06,5.19086E-06,6.06818E-06,7.2252E-06,7.95985E-06,0.134182691
3,0.049568005,0.065607795,0.080809815,0.094458471,0.112383239,0.123780388,0.268629972
4,0.099362024,0.131505483,0.161903913,0.189300884,0.224969315,0.247794305,0.403309371
5,0.149474639,0.197729416,0.243419664,0.284504248,0.337783381,0.372011807,0.538319164
6,0.199785685,0.264311433,0.325279554,0.380248526,0.450843159,0.496394876,0.673548002
7,0.250488738,0.331283124,0.407545351,0.476399244,0.56416617,0.621079569,0.808954118
8,0.301567731,0.398780213,0.490348086,0.573135465,0.677665008,0.745922837,0.944617578
9,0.353180463,0.46676368,0.573644016,0.670409144,0.79142647,0.745922837,1.0805482
10,0.405135993,0.535402992,0.657458747,0.768241382,0.905467116,0.745922837,1.216755448
11,0.457573886,0.604466858,0.741973672,0.866809194,1.019803157,0.870885974,1.353248429
12,0.510528724,0.674106276,0.826917612,0.96583694,1.134276732,0.9960695,1.489844736
13,0.564034468,0.74454073,0.912644375,1.065674029,1.249042462,1.121486259,1.626709068
14,0.618124516,0.815641606,0.999020566,1.166182469,1.363907407,1.247148744,1.763849198
15,0.672831627,0.8874359,1.086068609,1.267154986,1.479059816,1.372878203,1.901030106
16,0.728187929,0.959950055,1.174051877,1.368799771,1.594271953,1.498634897,2.038466614
17,0.784224713,1.033209625,1.262783022,1.470874308,1.709765169,1.624603876,2.175889068
18,0.784224713,1.033209625,1.262783022,1.470874308,1.709765169,1.75079603,2.313545028
19,0.840972607,1.107514883,1.352281732,1.573619311,1.825277145,1.876962891,2.451130476
20,0.898461225,1.182647503,1.442859147,1.677049696,1.941062188,1.876962891,2.588925565
21,0.957028573,1.25863012,1.534274198,1.780870483,2.056823557,2.003063869,2.726934101
22,1.016101192,1.335484544,1.626868886,1.885370648,2.172522588,2.129350208,2.864800779
23,1.075998291,1.413573095,1.720366112,1.989878598,2.288463052,2.255521994,3.002853704
24,1.137104478,1.492248012,1.815138377,2.095024518,2.404296828,2.381863563,3.140704102
25,1.198744042,1.57222772,1.910872834,2.200444527,2.519984793,2.508040654,3.278711196
26,1.261282965,1.6531872,2.00797188,2.306100424,2.635878204,2.634369547,3.41645296
27,1.325150839,1.73514223,2.10649364,2.411953498,2.751172645,2.760482708,3.554320175
28,1.389571772,1.818530141,2.206071814,2.517964904,2.866625613,2.886337541,3.692311823
29,1.455395046,1.902534593,2.307151897,2.624094882,2.982244776,3.012298221,3.829955838
30,1.522232964,1.988028209,2.40933217,2.730303954,3.097129005,3.137947183,3.967688685
31,1.590103059,2.074598607,2.513085836,2.836552157,3.212130167,3.263241145,4.105006675
32,1.659021308,2.162254601,2.617006664,2.943284256,3.326769264,3.388591542,4.242375428
33,1.729002776,2.251003577,2.722004297,3.049504933,3.441005564,3.513531541,4.37925924
34,1.729002776,2.251003577,2.722004297,3.049504933,3.441005564,3.638502441,4.516698018
35,1.800060799,2.340851712,2.827563289,3.155128092,3.554798269,3.762506148,4.653609377
36,1.872207524,2.431273083,2.933107382,3.261127869,3.668636414,3.762506148,4.790516723
37,1.945453396,2.522226957,3.039090067,3.366418758,3.781978675,3.88648333,4.927410084
38,2.019248336,2.614230462,3.144905178,3.471474336,3.894783919,4.010434835,5.063677335
39,2.094703824,2.707284158,3.249888225,3.575680243,4.007010198,4.133271598,5.19988278
